user_id,grass_date,login_datetime,login_platform
12747,20250101,2025-01-01 00:00:00.000000 UTC,App
16943,20250101,2025-01-01 00:00:00.000000 UTC,App
16573,20250101,2025-01-01 00:00:00.000000 UTC,App
18320,20250101,2025-01-01 00:00:00.000000 UTC,App
19462,20250101,2025-01-01 00:00:00.000000 UTC,App
14362,20250101,2025-01-01 00:00:00.000000 UTC,App
17398,20250101,2025-01-01 00:00:00.000000 UTC,App
12488,20250101,2025-01-01 00:00:00.000000 UTC,App
13238,20250101,2025-01-01 00:00:00.000000 UTC,App
17190,20250101,2025-01-01 00:00:00.000000 UTC,App
17512,20250101,2025-01-01 00:00:00.000000 UTC,App
16630,20250101,2025-01-01 00:00:00.000000 UTC,App
15285,20250101,2025-01-01 00:00:00.000000 UTC,App
14288,20250101,2025-01-01 00:00:00.000000 UTC,App
15758,20250101,2025-01-01 00:00:00.000000 UTC,App
12035,20250101,2025-01-01 00:00:00.000000 UTC,App
14274,20250101,2025-01-01 00:00:00.000000 UTC,App
17975,20250101,2025-01-01 00:00:00.000000 UTC,App
19175,20250101,2025-01-01 00:00:00.000000 UTC,App
11817,20250101,2025-01-01 00:00:00.000000 UTC,App
11449,20250101,2025-01-01 00:00:00.000000 UTC,App
18177,20250101,2025-01-01 00:00:00.000000 UTC,App
13466,20250101,2025-01-01 00:00:00.000000 UTC,App
18747,20250101,2025-01-01 00:00:00.000000 UTC,App
14872,20250101,2025-01-01 00:00:00.000000 UTC,App
18562,20250101,2025-01-01 00:00:00.000000 UTC,App
15339,20250101,2025-01-01 00:00:00.000000 UTC,App
19274,20250101,2025-01-01 00:00:00.000000 UTC,App
18733,20250101,2025-01-01 00:00:00.000000 UTC,App
16594,20250101,2025-01-01 00:00:00.000000 UTC,App
17173,20250101,2025-01-01 00:00:00.000000 UTC,App
13034,20250101,2025-01-01 00:00:00.000000 UTC,App
13474,20250101,2025-01-01 00:00:00.000000 UTC,App
17018,20250101,2025-01-01 00:00:00.000000 UTC,App
13645,20250101,2025-01-01 00:00:00.000000 UTC,App
11456,20250101,2025-01-01 00:00:00.000000 UTC,App
17878,20250101,2025-01-01 00:00:00.000000 UTC,App
10447,20250101,2025-01-01 00:00:00.000000 UTC,App
13664,20250101,2025-01-01 00:00:00.000000 UTC,App
19286,20250101,2025-01-01 00:00:00.000000 UTC,App
18421,20250101,2025-01-01 00:00:00.000000 UTC,App
15303,20250101,2025-01-01 00:00:00.000000 UTC,App
15915,20250101,2025-01-01 00:00:00.000000 UTC,App
13619,20250101,2025-01-01 00:00:00.000000 UTC,App
16838,20250101,2025-01-01 00:00:00.000000 UTC,App
14942,20250101,2025-01-01 00:00:00.000000 UTC,App
11142,20250101,2025-01-01 00:00:00.000000 UTC,App
17985,20250101,2025-01-01 00:00:00.000000 UTC,App
14093,20250101,2025-01-01 00:00:00.000000 UTC,App
12226,20250101,2025-01-01 00:00:00.000000 UTC,App
15856,20250101,2025-01-01 00:00:00.000000 UTC,App
12069,20250101,2025-01-01 00:00:00.000000 UTC,App
15530,20250101,2025-01-01 00:00:00.000000 UTC,App
19460,20250101,2025-01-01 00:00:00.000000 UTC,App
14200,20250101,2025-01-01 00:00:00.000000 UTC,App
12564,20250101,2025-01-01 00:00:00.000000 UTC,App
13310,20250102,2025-01-02 00:00:00.000000 UTC,App
10824,20250102,2025-01-02 00:00:00.000000 UTC,App
11388,20250102,2025-01-02 00:00:00.000000 UTC,App
10593,20250102,2025-01-02 00:00:00.000000 UTC,App
15575,20250102,2025-01-02 00:00:00.000000 UTC,App
12016,20250102,2025-01-02 00:00:00.000000 UTC,App
19665,20250102,2025-01-02 00:00:00.000000 UTC,App
10517,20250102,2025-01-02 00:00:00.000000 UTC,App
12172,20250102,2025-01-02 00:00:00.000000 UTC,App
18671,20250102,2025-01-02 00:00:00.000000 UTC,App
18881,20250102,2025-01-02 00:00:00.000000 UTC,App
14022,20250102,2025-01-02 00:00:00.000000 UTC,App
12349,20250102,2025-01-02 00:00:00.000000 UTC,App
14357,20250102,2025-01-02 00:00:00.000000 UTC,App
11329,20250102,2025-01-02 00:00:00.000000 UTC,App
16125,20250102,2025-01-02 00:00:00.000000 UTC,App
15611,20250102,2025-01-02 00:00:00.000000 UTC,App
10818,20250102,2025-01-02 00:00:00.000000 UTC,App
18625,20250102,2025-01-02 00:00:00.000000 UTC,App
14668,20250102,2025-01-02 00:00:00.000000 UTC,App
14342,20250102,2025-01-02 00:00:00.000000 UTC,App
10594,20250102,2025-01-02 00:00:00.000000 UTC,App
12056,20250102,2025-01-02 00:00:00.000000 UTC,App
13347,20250102,2025-01-02 00:00:00.000000 UTC,App
18748,20250102,2025-01-02 00:00:00.000000 UTC,App
10413,20250102,2025-01-02 00:00:00.000000 UTC,App
14637,20250102,2025-01-02 00:00:00.000000 UTC,App
18022,20250102,2025-01-02 00:00:00.000000 UTC,App
19182,20250102,2025-01-02 00:00:00.000000 UTC,App
19595,20250102,2025-01-02 00:00:00.000000 UTC,App
17443,20250102,2025-01-02 00:00:00.000000 UTC,App
17553,20250102,2025-01-02 00:00:00.000000 UTC,App
18571,20250102,2025-01-02 00:00:00.000000 UTC,App
14085,20250102,2025-01-02 00:00:00.000000 UTC,App
12268,20250102,2025-01-02 00:00:00.000000 UTC,App
15340,20250102,2025-01-02 00:00:00.000000 UTC,App
13023,20250102,2025-01-02 00:00:00.000000 UTC,App
13924,20250102,2025-01-02 00:00:00.000000 UTC,App
11454,20250102,2025-01-02 00:00:00.000000 UTC,App
18450,20250102,2025-01-02 00:00:00.000000 UTC,App
18455,20250102,2025-01-02 00:00:00.000000 UTC,App
11284,20250102,2025-01-02 00:00:00.000000 UTC,App
19907,20250102,2025-01-02 00:00:00.000000 UTC,App
11350,20250102,2025-01-02 00:00:00.000000 UTC,App
14125,20250102,2025-01-02 00:00:00.000000 UTC,App
